"","klasifikasi","score","text"
"441","Netral",0,"first time seeing   person lego eiffel tower stands  five feet tall "
"442","Positif",1,"     right im  paris   got   went  see  eiffel tower  went    "
"443","Positif",1,"x eiffel tower wallcanvas x   panel  nk come cop  beauty "
"444","Netral",0,"   french  eiffel   "
"445","Positif",1,"ive    top   eiffel tower many  time "
"446","Netral",0," watching comedy reruns  telly  possibly eating kfc"
"447","Netral",0," just need    kissing photo   eiffel tower   background  can go back   gf afterwards just "
"448","Netral",0,"  explain   eiffel tower    homie   day     people    doesnt kn "
"449","Netral",0,"   french  eiffel   "
"450","Positif",1," actually asked yesterday  today    like yh sure ill call   bit meanwhile shes taking pictures  "
"451","Negatif",-1,"   announce  dlc  pokemon day next year  tease kalos  pikachu   eiffel tower   cal"
"452","Positif",2," eiffel towermy baby girl sent   pic  make  jealous   worked im  happy shes enjoying paris"
"453","Netral",0,"check   item   etsy shop "
"454","Negatif",-2,"  want   eiffel tower  sorry  sorry"
"455","Positif",1,"  manifesting  paris trip   best friend   life partner surprises   front   eiffel tower "
"456","Netral",0,"take  first time ferran chawal"
"457","Positif",1,"gnabry needs  moment  good  player  flop  two successive tournaments"
"458","Positif",2,"pedri   good ffs elite technician"
"459","Netral",0," thats  yall tried  push    eiffel tower"
"460","Positif",2,"yes thank  eiffel eloquent  always"
"461","Netral",0," yep vaguely remember  debut  india"
"462","Negatif",-1," wait opportunities knock   door everyone   day   today tomorrow "
"463","Netral",0,"im  one  crazy travels  culture  brunch   view   eiffel tower  kinda neat though "
"464","Positif",1,"wait till  hear   good bits  "
"465","Negatif",-2,"   shame  injuries ruined  career"
"466","Netral",0,"    little eiffel tower"
"467","Netral",0," lego eiffel tower  overwhelmingly enticing"
"468","Positif",1," will get  kiss    doug eiffel guarantee "
"469","Netral",0,"omg olmo"
"470","Negatif",-1,"   announce  dlc  pokemon day next year  tease kalos  pikachu   eiffel tow "
"471","Negatif",-1," doug cant  shit  space eiffel"
"472","Netral",0,"    carvajals first ever wc"
"473","Netral",0," made  clay model   eiffel tower "
"474","Positif",1,"gift idea   know someone   love  challenge   piece set "
"475","Netral",0,"   never seen  eiffel tower"
"476","Netral",0," made  clay model   eiffel tower "
"477","Netral",0,"students  allowed  park   eiffel tower"
"478","Netral",0," en pls "
"479","Netral",0," according  police onlooking youths allegedly provoked  pakistani street vendors possibly  "
"480","Netral",0," lunch   eiffel"
"481","Positif",1,"ive    top   eiffel tower many  time "
"482","Netral",0,"    family game  charades   learned  boyfriend didnt know   two eiffel towers "
"483","Netral",0,"   typical yorkshire lass   learnt finances   dad  take  lift  y "
"484","Netral",0,"lego eiffel tower   tallest set  alltime "
"485","Netral",0," ofcourse  know "
"486","Netral",0," none   know  muneeza hashmi  faiz ahmed faiz daughter  hope  know "
"487","Netral",0,"  relation  muneeza hashmi  co"
"488","Negatif",-2,"tricky vic  impossibly true story   man  sold  eiffel tower ejibel "
"489","Positif",2," eiffel towermy baby girl sent   pic  make  jealous   worked im  happy shes enjoying "
"490","Netral",0," paris till  france  dick stand tall like  eiffel tower"
"491","Netral",0," yes      betting person   money    belgium   draw    likely result "
"492","Positif",1," glowing beacon  hope   eiffel tower "
"493","Positif",1," croatian defence  top notch btw specially gvardiol   highly rated reckon  will  extremely close contest"
"494","Netral",0,"  agreed  de bruyne   class act  can find form   instant  believe even  semi fit lukak "
"495","Netral",0,"lego eiffel tower   tallest set  alltime "
"496","Negatif",-4," belgium  serious mentality issues hazard  declined   main burden fell  de bruynes shou "
"497","Positif",1,"  dont think   way croatia  played  think belgium can easily win  game  morocco might "
"498","Positif",2,"snoopy  tbe cool yule gang  lit  eiffel tower tree  kicked  another festive night  shows activities "
"499","Negatif",-2,"eiffel    stop talking   fragile carbonbased uncomfortably liquid body itd   real brea "
"500","Netral",0,"images tour eiffel  championnat des escaliers new yorkers waiting   bus stop "
"501","Netral",0,"   sing  words  totp  just changed arse  ass"
"502","Positif",2,"get ready  rockaround  christmas treemusic  marvel studios special presentation   "
"503","Positif",1,"ive    top   eiffel tower many  time "
"504","Positif",1,"  enjoy  like biting technically    just patting eiffels head "
"505","Netral",0,"man cant even   eiffel tower  ohio "
"506","Negatif",-1," bf just came   room  complete disbelief cuz   order  lego eiffel tower chief  asked    "
"507","Netral",0,"lego eiffel tower   tallest set   time boing boing "
"508","Netral",0," just need    kissing photo   eiffel tower   background  can go back   gf afterwards "
"509","Netral",0,"huge eiffel tower  legos tallestever set "
"510","Netral",0,"  eiffel tower can  cm taller   summer"
"511","Netral",0,"q    go   second day  sightseeing view  eiffel tower b   indian restaurant c  "
"512","Netral",0," depends   want  see  eiffel towerparis "
"513","Positif",1," tallest stable structure built   civilization   pyramids   eiffel tower"
"514","Netral",0,"ft retain  mens virtual world championship  next title defence   "
"515","Positif",1," get well soon rachel "
"516","Netral",0,"day   eiffel tower build  behind  "
"517","Netral",0,"  never said youve seen eiffel tower doesnt  mean paris doesnt exist "
"518","Netral",0,"eiffel tower going  view  paris "
"519","Negatif",-1,"belgium  serious trouble now"
"520","Negatif",-1," wait opportunities knock   door everyone   day   today tomorrow "
"521","Netral",0,"    literally   eiffel tower"
"522","Positif",2,"ambitious lego fans  want  replicate  parisian experience    homes can now      "
"523","Netral",0,"wondering  ill ever outgrow  dopamine blast  get   hear eiffel "
"524","Netral",0," youre running   wild  passed  eiffel tower   session id gladly exchange  fo "
"525","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris "
"526","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris "
"527","Positif",1," eiffel tower  wonder   ruth "
"528","Netral",0,"  want  visit  eiffel tower ive really  left canada       caribbean "
"529","Netral",0," now draw  eating  can  inverted ravioli whilst drivi "
"530","Netral",0,"dreadful defending    easy"
"531","Negatif",-1,"pakistani street vendors   eiffel tower fought savagely leaving  bloody scene behind  "
"532","Netral",0," want  lego eiffel tower  throw   "
"533","Netral",0," want  lego eiffel tower  throw   "
"534","Netral",0," dad   younger days eiffel tower france mybe  late s "
"535","Positif",1," eiffel tower   wroughtiron lattice tower   champ de mars  parisfrance   names   engine "
"536","Positif",1,"stylish classical france paris landmark eiffel tower metal decorative bookend "
"537","Positif",1," can someone   gorgeous "
"538","Netral",0," hope  find  youre looking  eiffel tower pasty  pembina   review  "
"539","Netral",0,"  lil eiffel tower "
"540","Netral",0,"following   footsteps  titanic lego icons eiffel tower   back order days   initial "
"541","Positif",1,"honey j   husband makes  want  jump   eiffel tower theyre  good"
"542","Netral",0,"eiffel tower  pls "
"543","Netral",0,"  plead  fifth"
"544","Netral",0," see  eiffel tower janeshua shines  smc l "
"545","Positif",2,"   v biggest ever attendance involving two clubs incredible support "
"546","Netral",0,"doxxing oomfs list chat noir eiffel way r paris france yun jins studio seoul s "
"547","Positif",1," looking fantastic girls xx"
"548","Negatif",-1,"  attendance  record   fa cup outside   wembley final wild "
"549","Positif",1," ive  trying   achievement   avail time  vlog  "
"550","Negatif",-1,"  taehyung looses  diary   new prof finds   also happens    guy  stole taeh"
"551","Negatif",-2," uh huh werent  just whining   bored  "
"552","Netral",0," ive  busy"
"553","Netral",0," see  eiffel tower janeshua shines  smc "
"554","Positif",1," well played girls "
"555","Netral",0," eiffel tower  true"
"556","Netral",0,"  taehyung looses  diary   new prof finds   also happens    guy  st "
"557","Netral",0," snow"
"558","Netral",0,"now   need   croissant   big cup  coffee "
"559","Netral",0," officer eiffel  much   enjoy hearing   humiliation  meant   deep space communications yo "
"560","Netral",0," aquariums   leo dont care   one   cause  ego   big   eiffel tower"
"561","Netral",0," photo  beomgyu gtgtgtgt "
"562","Negatif",-1," like k pics   bf   eiffel tower   refuse  look    ill  sad "
"563","Negatif",-1,"jacobi small laugh please eiffel   given moment colonel kepler   eighteen ulterior motives h "
"564","Netral",0," see  eiffel tower janeshua shines  smc "
"565","Netral",0," funding news   context    parisbased announce  launch   new eiff"
"566","Netral",0,"wtf theres  eiffel tower emoji"
"567","Negatif",-1," theyre missing lo celso badly   team   pedigree shouldve quality options regardless th "
"568","Netral",0,"   man   eiffel tower "
"569","Positif",1,"  course lodi id  happy  p try  see  bring  eiffel tower back   kapp "
"570","Negatif",-1,"    also witness  argentinian midfield de shit    place"
"571","Positif",1," last one      saw hamsterjisung eating  block  cheese   top   eiffel tower   wa "
"572","Netral",0,"  coming croatian midfield   much control cracking game  store now"
"573","Negatif",-2,"eiffel sotto   hell jacobi    dial eiffel sotto   hell  im  "
"574","Positif",1,"sunoos expression amp hand  looks majestic "
"575","Netral",0,"   myaaa  eiffel tower  looking  u  next year kapp"
"576","Netral",0,"just  little flex  mine  one   last names    eiffel tower cuz  got france blood "
"577","Positif",1,"   meet someone    dide  town    want  go   eiffel tower rn   gotta  mf fast"
"578","Netral",0,"  eiffel tower    lit currently  dont   questions   open challenge  debate t "
"579","Negatif",-1," eiffel tower doesnt even light  anymore   expensive"
"580","Netral",0," yes eiffel tower"
"581","Positif",1,"ive    top   eiffel tower many  time "
"582","Positif",1,"  will      fans  shouldnt    google   probably knew "
"583","Netral",0,"phantom limb eiffel tower"
"584","Netral",0," yeah   thinking  "
"585","Netral",0,"idc  anyone says  eiffel tower  night really   dream "
"586","Netral",0," ah river boat cruise next   base   eiffel tower"
"587","Positif",1," magical facts   eiffel tower blog "
"588","Netral",0," essential things  know   eiffel tower "
"589","Netral",0,"im talking  occult eiffel tower"
"590","Netral",0,"im talking  occult eiffel tower"
"591","Negatif",-1," extremists threatens  eiffel tower   political purposes"
"592","Negatif",-1," extremists threatens  eiffel tower   political purposes"
"593","Negatif",-2,"today  sunday november th ad youll found nothing extremists matters  evil eiffel tower paris"
"594","Netral",0," yes please"
"595","Positif",1,"starting  today  photos   eiffel tower  kings island covered  lights  atmosphere  amazing last night"
"596","Negatif",-2,"doatktober day  eiffel tower ft hamood  evil morty  light  falling apart "
"597","Positif",4," feel like going   eiffel tower  night   anniversary  pretty gay   loved   loved "
"598","Positif",1," mafy   singtaas ng eiffel tower na pride   world"
"599","Positif",1," like   dont fvcking get     need  know  name   place  "
"600","Netral",0," yeah  two plus mbappe"
"601","Netral",0,"  time pass   scripting manmadhudu introduction years  marriage abhi amp harika trip  paris  c "
"602","Netral",0,"lego eiffel tower   tallest set   time boing boing "
"603","Netral",0," davies  real  burners   guess dembelle might  something  say "
"604","Netral",0," yall  gonna   eiffel tower  future"
"605","Positif",2,"fastest goal   tournament   fastest player   tournament "
"606","Netral",0,"   man   eiffel tower "
"607","Negatif",-1,"im   fruit  says eiffel stop biting   ice "
"608","Netral",0," see  eiffel tower janeshua shines  smc "
"609","Negatif",-2,"  clock tower   un ugly crime   kaaba   towers      beco "
"610","Positif",1,"watched  lavender hill mob    first time  ages   never  clearer     "
"611","Netral",0,"lego eiffel tower   tallest set  alltime "
"612","Negatif",-1," hope negasonic teenage warhead walks   eiffel tower  crashes  miniature portrait   left wrist killing  instantly"
"613","Netral",0," lego eiffel tower   tallest towerever "
"614","Netral",0," lego eiffel tower   tallest towerever "
"615","Positif",1,"  best time  paris robbo  taking us    meal amp  see  eiffel tower tonight "
"616","Positif",2," can second  rodin museum suggestion wonderful sculptures   quiet neighborhoo "
"617","Positif",2,"    eiffel tower     pretty cool experience"
"618","Positif",1," like  time  deep throated  eiffel tower"
"619","Negatif",-2," cant decide   worse    people constantly trying  sell  shit   eiffel tower"
"620","Netral",0," r u gonna compare  eiffel tower   completely private hotel  prove ur nonexistent point next like"
"621","Netral",0,"  kame can date eiffel tower   asdgjkll"
"622","Netral",0," eiffel  right blue bad girls   way"
"623","Netral",0,"lego eiffel tower   tallest set  alltime "
"624","Netral",0," walk  paris   view   eiffel tower new watercolor felipe adan lerma  tal"
"625","Positif",1," lol   good friend   widowed years ago hes dating now amp  facebook ar dates wwomen "
"626","Netral",0," r  gonna compare  eiffel tower   private balcony  pool   hotel "
"627","Netral",0,"   french  think  eiffel tower  involved  somewhere"
"628","Netral",0,"things  france  known  eiffel tower croissants  kylian mbappe hear  frank leboeuf  "
"629","Positif",2,"   kevins parents    can afford  house like    fly  whole family t "
"630","Positif",1,"starting  today  photos   eiffel tower  kings island covered  lights  atmosphere  amazing l "
"631","Netral",0,"  man seriously injured   brawl   foot   eiffel tower france descends  violence "
"632","Positif",1," fun fact  based   knowledge  history   gave   shows  wrote  first article "
"633","Netral",0,"wheres  eiffel tower emoji   need  "
"634","Netral",0," yeah  busy understandably  writes  articles whenever   find time"
"635","Netral",0," brazil"
"636","Positif",2," yes     wonderful coverage  asked     twitter space  world like people   ps "
"637","Netral",0,"got  chorus   song  doesnt exist stuck   head thats just  phrase   sea times delightful "
"638","Netral",0," tb kon jeeta tha world cup"
"639","Positif",2," well     really wonderful prediction  still remember  pre  post game shows  ptv  "
"640","Positif",1," doc knows  game absolute top notch coverage   wc   shame  doesnt work much  "
"641","Positif",1," german media  claustrophobic even right now theyre showing  report covering  migrant workers "
"642","Netral",0," jumps  eiffel"
"643","Positif",2," well     really wonderful prediction  still remember  pre  post game shows  ptv  "
"644","Netral",0," hope    talking   western jury "
"645","Negatif",-1," saw something disgusting  looking   tower  france yeah  got  eiffel"
"646","Netral",0,"   miniature   eiffel tower   desk "
"647","Netral",0,"doc knew   along "
"648","Positif",1,"jurys     best wc ever   group stage   bonkers every single game   competitive s "
"649","Positif",1," just need  see  eiffel tower sparkle one time"
"650","Netral",0,"eiffel one goal"
"651","Netral",0,"literally stood behind anne hidalgo   eiffel tower ffs"
"652","Netral",0," instagram ama   bros "
"653","Positif",3,"dear traveler genshin impact   nominated   game awards  best ongoing game  best mobile game go"
"654","Positif",6," victory  defeat   always respect thank   helping  japan fans "
"655","Negatif",-1,"saiss obstructing coutois  "
"656","Positif",1,"  feel like  eiffel tower   mother"
"657","Netral",0,"eiffel tower lighted glass block upcycled glass block paris etsy "
"658","Positif",1,"bebe sampled eiffel blue   love   created "
"659","Netral",0,"big naughtys ig post "
"660","Positif",1,"escape    amazing experiences take  guided tour   louvre museum see  eiffel tower "
"661","Netral",0,"  drew glittery hearts "
"662","Netral",0,"featured art   day eiffel tower buy   "
"663","Netral",0,"ye   eiffel tower "
"664","Negatif",-1,"eiffel   last words   one  one   hera   nobody  anything  stupid mink "
"665","Positif",1,"ive    top   eiffel tower many  time "
"666","Negatif",-1,"eiffel  wanna turn  dark vengeance jacobi knock   starting tomorrow  right now right now y "
"667","Positif",1," go   top   montparnasse tower view  betteryou can see  eiffel tower vs bei "
"668","Negatif",-1," ai   theft data   stolen unless  original  deleted photos  "
"669","Positif",1," hi lets work together   based  europe  travel often  videos  front  eiffel tower amp o "
"670","Positif",1," hi lets work together   based  europe  travel often  videos  front  eiffel tower "
"671","Positif",4," feel like going   eiffel tower  night   anniversary  pretty gay   loved   loved "
"672","Netral",0,"eiffel "
"673","Positif",1," hi lets work together   based  europe  travel often  videos  front  eiffel tower "
"674","Positif",1," hi lets work together   based  europe  travel often  videos  front  e "
"675","Positif",3," outfit   classy  elegant imagine    romantic dinner   eiffel tower   outfit  dreamyyyy"
"676","Positif",1," hi lets work together   based  europe  travel often  videos  front  eiffel tower amp ot "
"677","Netral",0,"  vote   asian celebrity   year "
"678","Netral",0," vote   asian celebrity   year "
"679","Netral",0," vote   asian celebrity   year "
"680","Netral",0," vote   asian celebrity   year "
"681","Netral",0," vote   asian celebrity   year "
"682","Netral",0," vote   asian celebrity   year "
"683","Netral",0," vote   asian celebrity   year "
"684","Netral",0,"   brett shultz"
"685","Netral",0,"forget  eiffel tower heres   french travel  france "
"686","Netral",0,"little mans birthday    surprise trip  paris  hours plenty  time    two things  wants "
"687","Negatif",-1,"eiffel    say options  mean kill  dont "
"688","Positif",3," outfit   classy  elegant imagine    romantic dinner   eiffel tower   outfit "
"689","Negatif",-1," ohh yes skipped   accept  ignorance "
"690","Netral",0," dr atif  rehan   wingers  lacked   right striker even   conquering team  "
"691","Positif",1," haha   comparison    still competing  top honours rehan butt dr atif bashir al "
"692","Positif",1,"  remind   pakistan hockey team  early s brilliant  midfield always making chances  n "
"693","Positif",2,"morocco   well organised   unit technically strong players   ball    final ball plus compo "
"694","Netral",0,"   watch  film eiffel  might   idea   kind  situation  e "
"695","Positif",1,"  weeks sunday best  eiffel tower riddle graphic design fusion charts  capture  changin "
"696","Positif",1," anyone  look  give gifts  people   love    eiffel tower set "
"697","Netral",0,"eiffel protocol   currently  effect"
"698","Negatif",-1," struggling  speak conscientious objector pounded   butt  flushing undefined   eiffel tower   "
"699","Netral",0," see  eiffel tower janeshua shines  smc "
"700","Netral",0," see  eiffel tower janeshua shines  smc "
"701","Netral",0," see  eiffel tower janeshua shines  smc l "
"702","Netral",0," see  eiffel tower janeshua shines  smc "
"703","Netral",0," eiffel tower   river seine "
"704","Netral",0," rt dneedham  eiffel tower   river seine "
"705","Netral",0," eiffel tower   river seine "
"706","Negatif",-1," set pieces can  dealt  zonalman  man marking     defensive tactics actually  "
"707","Negatif",-1,"semanalmente voltando pro show  kendrick em paris s p ouvir ele cantando  pray  dick get big   eiffel  "
"708","Positif",1,"  definitely will  kinda  equivalent  going   top   eiffel tower  youre  tourist "
"709","Netral",0," s stars featfranco battiato  eiffel "
"710","Positif",2," looks like  actor receiving  acting award "
"711","Netral",0,"  climb  eiffel tower write letters   sky  many turns  took  reach "
"712","Netral",0,"   just noticing even  corners  fewer  usual  set pieces   enigma  time"
"713","Positif",1," cat seem  like  eiffel tower "
"714","Positif",1," eiffel tower looks amazing mate "
"715","Positif",1," like  episode  ab fab   go   eiffel tower amp get  tits "
"716","Positif",1," wtf webmd explains  definition  eiffel tower can   accomplished  three   peopl "
"717","Netral",0,"discover workshops close   eiffel tower  range  culinary workshops  french  english "
"718","Positif",1,"   approach  eiffel tower   like dudes around  proposing  counterfait products"
"719","Netral",0,"forget  eiffel tower heres   french travel  france "
"720","Positif",1,"eiffel fifty percent thats like  many   percents  guys"
"721","Netral",0,"oh wow look   shot  sunoo  dance break "
"722","Positif",1,"well   meet    hephaestus station comms officer doug eiffel signing  oh yeah cause  "
"723","Netral",0,"   romantic moments  said loudly   downpour romanticism   lie theres  rhyme  rea "
"724","Negatif",-1,"listen look  listen  learn presenting   official poster  drag den philippines join manila luzon nic"
"725","Positif",1,"  didnt pick  popular ones "
"726","Positif",2," peripheral figures dont belong   top   pyramid piola meazza etc  clear"
"727","Positif",1,"ive    top   eiffel tower many  time "
"728","Negatif",-1," ha ha  land  camoranesi orsi libonatti etc shouldnt complain much"
"729","Positif",2," best  luck girls gutted im working today "
"730","Positif",1," ive    top   eiffel tower many  time "
"731","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris "
"732","Positif",1,"  much trust   brazilianjorginhoto take penalties   row  never  happened     italian"
"733","Netral",0," yeah thats true   argue  italians didnt want  play  qatar  refused  qualify ha ha"
"734","Netral",0," germans dont even care   wc  begin  muted atmosphere  around even    sports bars  boycotting"
"735","Netral",0,"     football      germans can  bighearted   italians can  pet "
"736","Netral",0," relax  still need atleast  point tonight"
"737","Netral",0,"im  one  crazy travels  culture  brunch   view   eiffel tower  kinda neat though "
"738","Negatif",-2,"officer eiffel drives  slow einstein theory  relativity  time  spend  car  officer eiffel slower time moves"
"739","Netral",0," blood everywhere settlement  scores  pakistani street vendors   eiffel tower last nigh "
"740","Netral",0,"  vote   asian celebrity   year "
"741","Positif",2,"goodness gracious   world cup ffs "
"742","Positif",1,"flying  europe  hrs  nft bags  packed   need  finish packing  actual bags  recommendations  "
"743","Netral",0,"lego  eiffel tower  learning tower  pisa architecture sets ebay "
"744","Positif",1,"     mff variant   classic eiffel tower  mfm"
"745","Netral",0,"  never get  see  northern lights    never get  see  eiffel tower  night oh    got   hand "
"746","Positif",1," like  cross  blackpool lights   eiffel tower   street     just started pu "
"747","Positif",1,"teresa giudice  paris chic   poses near  eiffel tour amid  trip abroad  luisruelas "
"748","Positif",1,"ive    top   eiffel tower many  time "
"749","Netral",0,"still  freekick goal  tournament "
"750","Netral",0,"  mean theres  eiffel tower  empire state building   red building   hk skyscraper iirc "
"751","Negatif",-1,"eiffel wait  crews concerned   hygiene hera commander minkowski  made eliminating  persiste "
"752","Netral",0,"eiffel tower    can take     "
"753","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris"
"754","Netral",0,"  wore    eiffel tower    queues"
"755","Positif",1,"imagine  beside  ill  like  tourist    eiffel tower ill  staring  "
"756","Netral",0," made  clay model   eiffel tower "
"757","Positif",2,"imagine wins   games feel like launching    eiffel tower "
"758","Netral",0,"astrodidi eiffel tower twopiece leather rope bracelet  boys girls friends amp couples fashionjewelry "
"759","Netral",0,"eiffel tower  night "
"760","Netral",0," weird thank "
"761","Positif",2," best  luck girls "
"762","Positif",3," get  ready  todays match  reading  matchday programme  free right now  catch"
"763","Netral",0," john parr st elmos fire"
"764","Netral",0," morning jo x yes"
"765","Netral",0," sunday girl blondie"
"766","Positif",1," happy sunday dee x"
"767","Netral",0," just   suspected zombierobot gustave eiffel"
"768","Netral",0,"paris eiffel tower notebook vintage style french journal memory diary travel gift  women paris  always  g "
"769","Positif",1,"watched  lavender hill mob    first time  ages   never  clearer   n "
"770","Netral",0,"minkowski regaining  composure    supposed    eiffel spot  minkowski youre  idio "
"771","Netral",0," definite  others will  chances  qualifiers playing  continental qualifiers"
"772","Positif",1,"liberty amp lower manhattan "
"773","Netral",0,"  first photo next   eiffel tower  taken   legend "
"774","Positif",1,"  performance terms   identical elite women athl "
"775","Netral",0,"  gap  athletics    near  huge "
"776","Netral",0,"  know    paris  wont "
"777","Netral",0,"things  france  known  eiffel tower croissants  kylian mbappe hear  frank leboeuf  "
"778","Netral",0,"things  france  known  eiffel tower croissants  kylian mbappe hear  frank leboeuf  "
"779","Netral",0,"just  hanging   paris watching  eiffel tower   thing "
"780","Netral",0,"   audio log  communications officer doug eiffel"
"781","Netral",0," foggy day   bottom   eiffel tower "
"782","Netral",0,"   gap  levels  athletics      "
"783","Netral",0," made  clay model   eiffel tower "
"784","Positif",1," ofc got  single secure spot next time"
"785","Netral",0,"eiffel right okay   actually really weird       side  things   want   know "
"786","Netral",0,"eiffel blue da ba dee iron man intro song beginning scene music via "
"787","Netral",0,"  eiffel tower can  cm taller   summer due  thermal e "
"788","Positif",1,"now  im looking   video  looks like paris  prague theres several scenes   big ass eiffel tower   back"
"789","Netral",0,"  whole mcgallaghans  eiffel tolong series uncle andrew uncle raymond uncle james uncle s "
"790","Positif",2," urge  book  flight  paris get  hotel   amazing view   eiffel tower go   cute caf  eat  croi"
"791","Netral",0,"  months long exhibition   countries showcase whats supposed    development  sp "
"792","Negatif",-2,"top  eiffel tower   visible due  mist  fog today   rather cold cloudy day "
"793","Netral",0,"     throughout  sports     football "
"794","Netral",0,"morning pullman paris tour eiffel w "
"795","Positif",2," good luck    last time  watched   voted  shaun ryder  "
"796","Netral",0," way  need   eiffel tower  bro "
"797","Netral",0," okay uhm   french becaue eiffel   "
"798","Netral",0,"  fantasy   eiffel tower   uplevelled"
"799","Negatif",-1," redemed  dad joke    tick   eiffel tower   common theyre  paris sites"
"800","Netral",0," whole sequence "
"801","Positif",1,"      correct eiffel tower "
"802","Positif",1,"evolution  angel huening kai "
"803","Positif",1,"sunjake supremacy "
"804","Netral",0,"rest "
"805","Netral",0,"cyber sale  amp shipping "
"806","Netral",0,"cyber sale  amp shipping "
"807","Positif",1," safe journey home x"
"808","Netral",0,"jean pierre  eiffel guy"
"809","Netral",0," day  found   eiffel tower   just  tv tower   can actually go    see  whole ci "
"810","Netral",0," thats   matter  opinion lots  people  enjo "
"811","Netral",0,"  point   standard   sport watching womens foot "
"812","Positif",2,"  like saying oh   fired  workers  helped build  eiffel tower    still st "
"813","Netral",0,"smiling  way   final unbelievable  everyone whos voted youre absolute legends final stretch"
"814","Netral",0,"lets  get voting  thoroughly deserves  "
"815","Positif",1,"    fared  better  men  women "
"816","Negatif",-1,"jacobi  court finds  defendant douglas fernand eiffel guilty  one count  kidnapping  three counts "
"817","Netral",0," now  brings back memorys"
"818","Positif",1," promoting advertising supporting homosexuality  though "
"819","Netral",0," see youuu poi "
"820","Netral",0,"    competed  high standards"
"821","Positif",1,"  weeks sunday best  eiffel tower riddle graphic design fusion charts  capture  changin "
"822","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris "
"823","Negatif",-1,"minkowski  just released officer eiffel  surrendered  firearm   mr jacobi  surrender   mo "
"824","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris "
"825","Positif",1," love    much "
"826","Netral",0,"everyone  seen  commercial   person   handstand  front   eiffel tower  asks  ga "
"827","Negatif",-1," saw something disgusting  looking   tower  france yeah  got  eiffel"
"828","Positif",1,"hangout  something  young people often  especially   four happy young people   complete  "
"829","Positif",1,"investment opportunity   offering  great opportunity  invest  burki eiffel tower bahria town rawalpindi appart"
"830","Positif",1,"investment opportunity   offering  great opportunity  invest  burki eiffel tower bahria town rawalpind "
"831","Positif",1," hope    great day "
"832","Netral",0,"big jugs  tour "
"833","Positif",1,"every day  start like  "
"834","Positif",1,"sit   top   eiffel tower"
"835","Netral",0," jennifer rush"
"836","Netral",0," track  field"
"837","Positif",1," happy birthday"
"838","Netral",0," kirsty maccoll"
"839","Netral",0,"big shout    teams  action today   ball   blast    "
"840","Negatif",-1," rainbow hats   illegal  qatar"
"841","Positif",1," eiffel tower must   saryab   accomplishment   paris project "
"842","Netral",0,"     original  "
"843","Positif",1," yay   cocktail  eiffel bar   x"
"844","Netral",0," exo members birthday selfies amp updates "
"845","Negatif",-1,"    even supposed     conflict  dont speak  ukrainians    american t "
"846","Netral",0,"pernille harder will     significant period   surgery   hamstring injury sustained whilst playi"
"847","Positif",1,"   vote  jill scott  win "
"848","Netral",0,"   go  vote  jill scott right now    national emergency "
"849","Netral",0,"jill  queen lets go "
"850","Positif",1,"everytime  top   money  get extra airtimedata dial "
"851","Negatif",-1," denmark forward said  mother died   hit   truck"
"852","Netral",0," ickup  main roster  diary   tourney kid theyd probably get media  edmund mcmillen tracks fe "
"853","Netral",0," reporting isnt forcing"
"854","Netral",0,"   just report   luke    sports  report  golf  bask "
"855","Netral",0,"   watch  currently watching "
"856","Netral",0,"  wpl doesnt exist    tie "
"857","Netral",0,"  years ago    barcelona femeni  e "
"858","Negatif",-1,"     problem  sally gunnell denise lewis "
"859","Netral",0," eiffel tower   construction  photo  henri roger "
"860","Positif",2,"  routing  jill  win right"
"861","Negatif",-1,"  guy  sold eiffel tower twice   victor lustig learned  expensive  tower  become  mainta"
"862","Negatif",-1," men died building  golden gate bridge died building  empire state building  eiffel "
"863","Positif",1,"ive    top   eiffel tower many  time "
"864","Netral",0," complete funday  motorheads  bike lovers  joined  epic bike  car show   families  rid "
"865","Netral",0,"  gf  watching  video   girl  talking   eiffel towered   wondered    "
"866","Netral",0,"ill make  money back  ill never  visiting disneyland paris  friends  seeing eiffel tower  night"
"867","Negatif",-1," yeah   break  internet plus viewing figures    time high uefas pipe dream wit "
"868","Positif",4,"happy birthday  gorgeous  hugely talented rapper singer songwriter producer actor  top model "
"869","Negatif",-1,"   hell     germany  looks back   almost annoyed  four lean "
"870","Negatif",-1,"    rooting   argentina  portugal final   insane ending   insane era dominated  "
"871","Netral",0,"         assignment"
"872","Negatif",-1," poland will sit deep   will   frustrating game  argentina will   job  feel"
"873","Netral",0," yeahhh"
"874","Negatif",-1," yes  game  poland looks really ominous beings back   memories  sweden game  "
"875","Netral",0," theyll need  one taller   back  counter lewandowski cant  otamendi  lisandro together"
"876","Positif",5," great france  fav country spectacular glory  french revolution  pavrd  way  top pos "
"877","Netral",0," biggest joke  hypocrisy  can one freely comment  comment box  closed   constructive work  "
"878","Netral",0," ah  eiffel tower "
"879","Netral",0," ah  eiffel tower "
"880","Netral",0," complete funday  motorheads  bike lovers  joined  epic bike  car show   families  rid "
